line,eventdate,casenumber,description
9,2018-07-09,18003814MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
7,2018-07-09,18003940MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
7,2018-07-09,18004053MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
7,2018-07-13,18003840MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-07-13,18004361MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
0,2018-07-17,17002479MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
4,2018-07-19,18003627MMMO,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-07-30,18004673MOMS,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
20,2018-08-01,16007588MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
9,2018-08-01,18002740MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
9,2018-08-01,18002752CTMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
7,2018-08-01,18004113MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
11,2018-08-06,18004556MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
10,2018-08-06,18004887MOMS,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
11,2018-08-08,18004464MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-08-08,18004493MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
10,2018-08-08,18004932MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
11,2018-08-09,18002029CTMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
9,2018-08-10,18004975MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
12,2018-08-13,18004534MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
1,2018-08-17,17004597MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
1,2018-08-17,17007569MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
5,2018-08-20,18001057MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
5,2018-08-20,18002035MMMO,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
10,2018-08-20,18003167MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
5,2018-08-23,17003155MMMA,EP - NO INFORMATION CHELSEA SEATON
1,2018-08-23,18001556MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
14,2018-09-05,18005532MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
2,2018-09-06,17001103MMMA,NO INFORMATION BY ASA CHELSEA SEATON
8,2018-09-06,18003216MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
11,2018-09-07,18004844MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-09-17,18003622MMMO,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-09-25,18004473MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
0,2018-09-27,18003217MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
8,2018-09-28,18005624MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
11,2018-09-28,18006137MMMA,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
6,2018-10-01,18004289MMMO,"PROSECUTOR:  SEATON, CHELSEA RENEE ASSIGNED"
8,2018-10-01,18005885MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-10-04,15002190CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
2,2018-10-05,17006076MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
3,2018-10-05,17006076MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
0,2018-10-08,17006053MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
13,2018-10-08,18006291MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-10-08,18006292MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
10,2018-10-08,18006297MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
11,2018-10-31,18006621MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
18,2018-10-31,18006646MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
6,2018-11-01,18002255MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-01,18003789MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-01,18005528MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-11-01,18005597MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-01,18005970MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-01,18006190MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-01,18006252MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
42,2018-11-02,18006684MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
6,2018-11-02,18006685MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-06,18004234MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-07,18006438MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
0,2018-11-08,18004231MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
15,2018-11-09,18006989MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
11,2018-11-13,17006951MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
11,2018-11-13,18003339CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-13,18004058MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-13,18004359MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
14,2018-11-14,18003678CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-14,18004279MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-11-14,18006146MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
6,2018-11-14,18006235MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
6,2018-11-15,18003221MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-16,18002671MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
0,2018-11-19,17004032MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
24,2018-11-19,18003024MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-19,18006367MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
6,2018-11-19,18006853MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-19,18007040MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-19,18007074MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
2,2018-11-20,18002360MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
8,2018-11-20,18003569MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
16,2018-11-20,18003591CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
10,2018-11-20,18003593CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
1,2018-11-20,18005051MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
10,2018-11-20,18005110MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-11-20,18006201MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-26,18003896CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
10,2018-11-26,18006711MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-26,18007030MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-28,18006894MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-28,18006895MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-11-29,18003843CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-11-29,18005622MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-11-29,18006034MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
9,2018-11-29,18006038MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
10,2018-11-29,18007061MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
11,2018-11-30,18003917CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-12-03,18006348MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-12-03,18006356MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
21,2018-12-03,18006557MOMS,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-12-03,18006563MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-12-03,18007229MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-12-03,18007355MMMO,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
14,2018-12-06,18002619MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
8,2018-12-06,18005725MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
27,2018-12-07,18003534CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
17,2018-12-07,18003745MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
13,2018-12-07,18003919CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-12-07,18006549MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
7,2018-12-07,18007051MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
12,2018-12-10,18004259CTMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
10,2018-12-10,18007433MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
0,2018-12-14,18000527MMMA,EP - NO INFORMATION ASA CHELSEA STEWART
9,2018-12-19,18007277MMMA,"PROSECUTOR:  STEWART, CHELSEA RENEE ASSIGNED"
