,Line,Count,Description,Level,Degree,Plea,Disposition,Disposition Date,casenumber
0,0,1,PARKING VIOLATIONS - UNINCORP (99999999999),I,N,NO PLEA ENTERED,DISMISSED,2004-03-31,00000740TOMA
1,0,1,EXPIRED TAG 6 MONTHS OR LESS (32007  3a),,,NO PLEA ENTERED,ADJ W/H COURT - SCH,2001-01-05,00032149TR
2,0,1,UNLAWFUL SPEED (316183 2),,,NO PLEA ENTERED,PAY FINE,2001-01-12,01000037TR
3,0,1,PETIT THEFT (812014 3a),M,S,NOLO-CONTENDERE,ADJUDICATED GUILTY,2004-12-29,01005702MMMA
4,0,1,BATTERY  GENERAL (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2003-09-24,01009018MMMA
5,0,1,PASSING WORTHLESS CHECKS (83205 2),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2004-06-11,02001157MMMW
6,0,1,DR WHILE UNDER INFLUENCE (316193 1a),M,S,NOLO-CONTENDERE,ADJUDICATED GUILTY,2002-09-17,02001710CTMA
7,0,1,RACING ON HIGHWAY (316191 2a),,,NO PLEA ENTERED,PAY FINE,2002-06-14,02016162TR
8,0,1,DRIVER NOT WEARING A SEATBELT (316614 4b),,,NO PLEA ENTERED,PAY FINE,2002-06-14,02016177TR
9,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2003-04-16,03004961MMMA
10,0,1,CRIMINAL MISCHIEF GENERAL (80613 1b1),M,S,NOLO-CONTENDERE,ADJUDICATED GUILTY,2003-09-24,03005918MMMA
11,1,2,MAKE HARASSING PHONE CALLS (36516 1d),M,S,NOLO-CONTENDERE,ADJUDICATED GUILTY,2003-09-24,03005918MMMA
12,0,1,INTERFERING WITH SCHOOL FUNCTION (87713 1a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2003-05-23,03006444MMMA
13,0,1,DOMESTIC VIOLENCE BATTERY (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2003-09-24,03010199MMMO
14,0,1,PETIT THEFT (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2003-12-08,03011614MMMA
15,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2004-02-05,03012048MMMA
16,0,1,NO OR IMPROPER TAIL LIGHTS (316221),,,,,,03029479TR
17,0,1,TRAFFIC CONTROL DEV(AVOID/FAIL TO OBEY) (316074  1),,,,,,03029480TR
18,0,1,DRIVER IN POSSESSION OF OPEN CONTAINER (31619362),,,,,,03029483TR
19,0,1,DOMESTIC VIOLENCE BATTERY (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2004-09-23,04000605MMMA
20,0,1,DR WHILE UNDER INFLUENCE (316193 1a),M,S,,,,04003408CTMA
21,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2004-05-20,04006948MMMA
22,1,2,RETAIL THEFT SHOPLIFTING (812014 3a),M,S,NOLO-CONTENDERE,ADJUDICATED GUILTY,2004-05-20,04006948MMMA
23,0,1,BATTERY (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATION WITHHELD,2004-09-22,04009627MMMA
24,0,1,CONTRIBUTING TO THE DEPENDENCY OF A MINOR (82704 1),M,F,,,,04011848MMMA
25,0,1,FOLLOW TOO CLOSELY TO VEHICLE (3160895),,,NO PLEA ENTERED,DISMISSED,2004-10-29,04028088TR
26,0,1,POSS OF PARAPHERNALIA (893147 1),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2005-05-26,05004640MMMA
27,1,2,TRESPASSING GENERAL (81008 2b),M,F,NOLO-CONTENDERE,ADJUDICATED GUILTY,2005-05-26,05004640MMMA
28,0,1,DOMESTIC VIOLENCE BATTERY (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATION WITHHELD,2005-07-20,05005804MMMA
29,0,1,BATTERY (78403 1a1),M,F,NOLO-CONTENDERE,ADJUDICATION WITHHELD,2006-03-07,05009584MMMA
