,Line,Date,Event,Judge,Location,Result,casenumber
0,0,2004-12-29 13:00:00,PREL VOP HRG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01005702MMMA
1,1,2004-12-27 11:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,01005702MMMA
2,2,2001-08-02 08:00:00,VOP WARR OUTSTANDING,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01005702MMMA
3,3,2001-06-30 11:00:00,FIRST APPEARANCE,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,01005702MMMA
4,4,2000-07-20 08:30:00,FIRST ARRAIGNMENT,"COSTELLO, DEDEE S","EAST COURTROOM, BAY COUNTY COURTHOUSE",Not Assigned,01005702MMMA
5,0,2004-12-15 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
6,1,2004-12-01 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
7,2,2004-10-20 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
8,3,2004-08-25 13:00:00,PREL VOP HRG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
9,4,2004-08-16 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
10,5,2003-09-24 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
11,6,2003-09-20 11:00:00,FIRST APPEARANCE,"HESS, GLENN L",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
12,7,2001-09-26 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,01009018MMMA
13,0,2007-04-04 08:30:00,ARRAIGNMENT,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,02001157MMMW
14,1,2007-03-31 14:00:00,FIRST APPEARANCE,"HESS, GLENN L",COURTHOUSE 1ST FLOOR,Not Assigned,02001157MMMW
15,2,2004-06-11 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,02001157MMMW
16,3,2004-06-10 11:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,02001157MMMW
17,4,2002-03-20 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,02001157MMMW
18,0,2002-09-17 08:30:00,JURY TRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
19,1,2002-09-17 08:30:00,JURY TRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
20,2,2002-08-05 08:30:00,JURY TRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
21,3,2002-08-05 08:30:00,JURY TRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
22,4,2002-08-01 08:30:00,SUPP PRETRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
23,5,2002-08-01 08:30:00,SUPP PRETRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
24,6,2002-07-25 08:30:00,PRE TRIAL CONFERENCE,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
25,7,2002-07-25 08:30:00,PRE TRIAL CONFERENCE,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
26,8,2002-06-20 08:30:00,SUPP PRETRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
27,9,2002-06-20 08:30:00,SUPP PRETRIAL,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
28,10,2002-06-13 08:30:00,PRE TRIAL CONFERENCE,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
29,11,2002-06-13 08:30:00,PRE TRIAL CONFERENCE,"SMILEY, ELIJAH",,Not Assigned,02001710CTMA
