attorney_name
 , ERREDE HEATHER	1
 ADAMS, BRITTANY	35
 ALBRITTON, RICHARD  	1
 BARNARD, JILLIAN	6
 BEASLEY, BARBARA F	37
 BREMER, KARA	111
 BREMER, KARA JAN	1
 BRUDNICKI, LAUREN	2
 CAROTHERS, ALICIA	6
 CARTER, CHRISTA  	1
 COLLIER, DEVIN D	5
 COOK, JACOB SHELBY	93
 CROSSON, KATELYN E	2
 DOWE, LYNELLE	45
 DYKES, MARIA I	3
 EDDINS, WILLIAM B	1
 ELMORE, CATHERINE A	1
 ELSAGGA, ALI	65
 ERREDE, HEATHER	3
 FORD, MEGAN JOANN	22
 FORESTER, BRITTANY	13
 GEORGE, GREGORY FRANK	51
 GETZIN, GARETH D	37
 GILL, LAWRENCE E	166
 GILLESPIE, ROBERT PAUL	1
 GLOYD, ERICA	29
 GOLDHAGEN, JILLIAN N	1
 GOODSON, MICHAEL R	2
 GRAHAM, MARK EDWARD	1
 GRAY, IAN JAMES	18
 GRETCHEN KELLEY BRANTLEY	1
 GRIMES, CORD	167
 GUNN, ROBERT IV	57
 HALL, CHARLES R	8
 HATCHER, WESLEY G JR	2
 HAWKINS, JENNIFER ALANE	7
 JAMES, WILLIAM JOSHUA	64
 KILLION, SETH	1
 KIM, JAE HEE	19
 KINCAID, AMANDA	54
 KING, DANIEL PATRICK	4
 LIEB, JENNIFER A	7
 LUCAS, A MICHELE	3
 MACELUCH, JOHN JOSEPH JR	3
 MAGEE, ELIZABETH PESKIN	15
 MCAFEE, MORGAN MAKENZIE	9
 MILLER, DUSTIN	58
 MURPHY-GERLING, CELESTE OLIVIA	18
 OVERSTREET, CALIE MARIE	6
 OVERSTREET, PETER CHARLES	5
 PACK, GARY	1
 PAXTON, AUTUMN M	62
 PELL, ROBERT ALLAN	721
 PESKIN, ELIZABETH A	1
 PIEPER, NICHOLE RENE	464
 PRICE, WILLIAM B	1
 RASH, KYLE J	19
 REED, NICOLE DANIELLE	147
 REGISTER, TIMOTHY ALLEN	6
 RIVERA, CALIE MARIE	41
 ROYBAL, CAREN	2
 SEATON, CHELSEA RENEE	29
 SHOUPPE, KIM	3
 SMALLWOOD, A MICHELE LUCAS	2
 SMALLWOOD, CHRISTINE MIRANDA	4
 STALCUP, SAMANTHA D 	1
 STAMMAN, PHILLIP	80
 STEWART, CARL MILLER	1
 STEWART, CHELSEA RENEE	726
 SULLIVAN, FRANCIS VICTOR	23
 SULLIVAN, FRANK	10
 SUTHERLAND, JARED BLAKE	1
 SYKES, ALEXIS	6
 TAYLOR, ASHLEY NICOLE	390
 TEEPLE, MEGAN MCGRATH	1
 VAN LOOCK, ERIC	1
 WINTERS, KEVIN MATTHEW	19
 YARBROUGH, ALYSSA	4
 YARBROUGH, ALYSSA MARIE	14
ALBERT SAULINE	1
AUTUMN M MILLER	9
AUTUMN M PAXTON	1
BEESTING DENNIS	1
BRIAN BARNES	1
BRIAN M KELLY	1
BROXTON QUENTIN	1
DYKES MARIA I	1
GRAHAM MARK E	1
MEADOWS STEVEN D	1
ROBERT D SALE	1
ROBERT SALE	7
SHALLA L PHELPS	2
STUDSTILL, LISA J	1
VANN SHANE R	1
ZACHARY TAYLOR	1
