attorney_name,Count,cases,Status
"ABDELGHANY, OMAR",4,,
"ADAMS, BRITTANY",22,,
"ADHAL, ALIA",5,,
"ADKINSON, CLAYTON JM",1,,
"ALBRITTON, J ADAM",2,,
"ALBRITTON, RICHARD HENRY III",4,,
"ALLAN, SHER L",2,,
"ANDERSON, LISA ANN",21,,complete
"ARROWOOD, JEFFREY D",3,,
"BARNES, BRIAN ERROL",26,,complete
"BARR, KEVIN DAVID",5,,
"BAUR, ERIN ELIZABETH",2,,
"BEASLEY, BARBARA F",6,,
"BENEDIK, ASHLEY",4,,
"BENNETT, CAREN JASPER",4,,x
"BENSTED, MEGHAN",2,,
"BOLLINGER, BEN",17,,complete
"BOYETTE, ROBERT F",4,,
"BREMER, KARA",100,,complete
"BRISTER, TODD C",1,,
"BROWN, CRAIG J",2,,
"CARLISLE, KEVIN DAVID",4,,
"CARROLL, SUSAN V",3,,
"CARTER, JEFFREY SCOTT",2,,
"CASANOVER, MICHAEL H",1,,
"CASSIDY, TAYLOR N",1,,
"CASSIDY, THOMAS J III",1,,
"CHAPMAN, JAMES STANLEY",1,,
"CHASE, KENNETH E",1,,x
"CLARKE, GRAHAM",1,,
"COHEN, SUSAN Z",1,,
"COLLIER, DEVIN D",2,,
"COOK, JACOB SHELBY",58,,
"COOKE, JODI DANIEL",2,,
"COX, BETSY C",1,,
"CRAWFORD, HOOT",122,,
"CROOKE, SARAH",61,,complete
"CROSSON, KATELYN E",18,,
"CRUISE, TYRESE",4,,
"DAFFIN, BLAIR",258,,complete
"DAVIS, ANDREW",4,,
"DAVIS, GERALD DOUGLAS",1,,
"DAVIS, LAUREN RAYE",12,,
"DENNIS, DON A",15,,x
"DEVER, STEVEN MITCHELL",4,,
"DIAZ, ANDREW G",1,,
"DINGUS, JONATHAN WESLEY",11,,
"DIVINEY, CHRISTA PADRAIC",2,,
"DMISZEWICKI, AARON MICHAEL",1,,
"DONOFRO, JESSICA",3,,
"DOSSANI, RAMEEZ",1,,
"DOWD, JOHN R  JR",1,,
"DOWDY, EMILY",1,,
"DOWE, LYNELLE",5,,
"DOWGUL, JAMES R",133,,complete
"DUKE, JULIA G",2,,
"DYER, E WILLIAM",11,,
"DYKES, HAYWARD JR",1,,
"DYKES, MARIA I",1,,
"DYKES, MARIA IGNACIO",7,,
"ELSAGGA, ALI",66,,
"ERREDE, HEATHER",1,,
"ESKUCHEN, MARTHA S",1,,
"FELTH, THERESE A",1,,
"FIXEL, JOE W",35,,
"FORD, MEGAN JOANN",8,,
"FOREHAND, JOHN W",1,,
"FORESTER, BRITTANY",3,,
"FRIEDMAN, TOR J",1,,
"FRY, MEGAN FORTSON",1,,
"GARMON, ERIC R",1,,
"GARMON, JENNA",2,,
"GAYLORD, BLAKE H",1,,
"GEORGE, GREGORY FRANK",30,,
"GETZIN, GARETH D",19,,
"GILL, LAWRENCE E",74,,complete
"GLOYD, ERICA",15,,
"GOLDHAGEN, JILLIAN N",1,,
"GRABNER, ANN M",84,,complete
"GRABNER, MICHAEL E",6,,
"GRAHAM, ANTHONY WAYLON",99,,complete
"GRAHAM, MARK EDWARD",1,,
"GRAY, IAN JAMES",11,,
"GREAVES, STEPHANIE",1,,
"GREEN, J MARCUS",1,,
"GRIMES, CORD",42,,complete
"GRIMLEY, J MICHAEL JR",1,,
"GROVER, SHALENE TRENT",1,,
"GUNN, ROBERT IV",30,,
"GUNTER, WILLIAM",15,,
"HAENEL, DAVID ASHLEY",1,,
"HALL, CHARLES R",1,,
"HAMISCH, ALAN F",1,,
"HANNA, CURTIS M",210,,complete
"HARPER, HARRY L",1,,
"HARRISON, BAYA III",1,,
"HATCHER, WESLEY G",1,,
"HATCHER, WESLEY G JR",9,,
"HAWKINS, CARY DALE",1,,
"HAWKINS, JENNIFER ALANE",1,,
"HEATH, JAMES L",1,,
"HEMPFLING, JONATHAN P",1,,
"HESS, BRIAN DEAN",5,,
"HESS, SARAH R",2,,
"HIGGINS, TANYA JEAN",1,,
"HOOD, ADAM LEE",3,,
"HOWELL, THEODORE RANDOLPH",1,,
"HUGHES, JAMES ROBERT",45,,
"HUNTER, MICHAEL",14,,
"JACKSON, LISA RENEE",61,,complete
"JAMES, WILLIAM JOSHUA",44,,
"KARPINSKI, CHRISTOPHER JOHN",3,,
"KELLEY, AMANDA",8,,
"KELLEY, BRIAN MICHAEL",12,,complete
"KILLION, SETH",4,,
"KIM, JAE HEE",10,,
"KINCAID, AMANDA",21,,
"KOEGLER, GORDON",3,,
"KOMAREK, PAUL GORDON",1,,
"KRAUSE, RICHARD ALAN",1,,
"KREBS, ERIC A",1,,
"LAMERE, MATTHEW C",3,,
"LANNING, PETER EARL",1,,
"LEEBRICK, BRIAN D",2,,
"LEVENTHAL, ROBERT A",1,,
"LIPPS, CIERRA",1,,
"LOHR, DAVID G",1,,
"LUZIETTI, GINO ANTONIO",1,,
"LYNCH, SAMUEL BRENDAN",1,,
"MADDEN, JOHN A JR",1,,
"MAGEE, ELIZABETH PESKIN",2,,
"MARGULES, JOEL",30,,
"MARTIN, ERIN",1,,
